scientific,family,genus,species,total_count,n_drops,mean_count,min_count,max_count,abalone,octopus,pilchard
Labridae Notolabrus parilus,Labridae,Notolabrus,parilus,170,98,1.7,0,5,34,29,35
Labridae Ophthalmolepis lineolatus,Labridae,Ophthalmolepis,lineolatus,672,98,6.72,0,23,34,30,34
Labridae Pseudolabrus biserialis,Labridae,Pseudolabrus,biserialis,437,93,4.37,0,16,32,26,35
Monacanthidae Meuschenia galii,Monacanthidae,Meuschenia,galii,151,84,1.51,0,5,33,25,26
Labridae Achoerodus gouldii,Labridae,Achoerodus,gouldii,113,79,1.13,0,6,29,22,28
Scorpididae Scorpis aequipinnis,Scorpididae,Scorpis,aequipinnis,245,79,2.45,0,14,32,24,23
Cheilodactylidae Nemadactylus valenciennesi,Cheilodactylidae,Nemadactylus,valenciennesi,132,77,1.32,0,5,28,21,28
Labridae Bodianus frenchii,Labridae,Bodianus,frenchii,91,63,0.91,0,3,22,22,19
Monacanthidae Meuschenia flavolineata,Monacanthidae,Meuschenia,flavolineata,114,63,1.14,0,4,25,19,19
Cheilodactylidae Cheilodactylus nigripes,Cheilodactylidae,Cheilodactylus,nigripes,71,56,0.71,0,2,19,17,20
Labridae Olisthops cyanomelas,Labridae,Olisthops,cyanomelas,68,56,0.68,0,3,21,13,22
Monacanthidae Meuschenia hippocrepis,Monacanthidae,Meuschenia,hippocrepis,119,56,1.19,0,7,24,17,15
Girellidae Girella tephraeops,Girellidae,Girella,tephraeops,159,52,1.59,0,10,19,15,18
Pomacentridae Parma victoriae,Pomacentridae,Parma,victoriae,54,46,0.54,0,2,19,17,10
Labridae Austrolabrus maculatus,Labridae,Austrolabrus,maculatus,56,42,0.56,0,3,15,10,17
Kyphosidae Kyphosus sydneyanus,Kyphosidae,Kyphosus,sydneyanus,75,40,0.75,0,14,16,12,12
Microcanthidae Tilodon sexfasciatus,Microcanthidae,Tilodon,sexfasciatus,50,37,0.5,0,3,15,10,12
Serranidae Epinephelides armatus,Serranidae,Epinephelides,armatus,44,37,0.44,0,2,15,9,13
Carangidae Pseudocaranx spp,Carangidae,Pseudocaranx,spp,443,36,4.43,0,96,12,10,14
Dinolestidae Dinolestes lewini,Dinolestidae,Dinolestes,lewini,359,35,3.59,0,61,11,10,14
Tetraodontidae Omegophora cyanopunctata,Tetraodontidae,Omegophora,cyanopunctata,36,35,0.36,0,2,12,11,12
Girellidae Girella zebra,Girellidae,Girella,zebra,84,34,0.84,0,20,16,7,11
Microcanthidae Neatypus obliquus,Microcanthidae,Neatypus,obliquus,184,34,1.84,0,27,10,14,10
Serranidae Othos dentex,Serranidae,Othos,dentex,36,34,0.36,0,2,11,9,14
Pomacentridae Chromis klunzingeri,Pomacentridae,Chromis,klunzingeri,740,32,7.4,0,89,10,10,12
Chaetodontidae Chelmonops curiosus,Chaetodontidae,Chelmonops,curiosus,49,30,0.49,0,2,17,6,7
Labridae Coris auricularis,Labridae,Coris,auricularis,46,29,0.46,0,6,9,12,8
Plesiopidae Trachinops noarlungae,Plesiopidae,Trachinops,noarlungae,1677,28,16.77,0,486,10,7,11
Scorpididae Scorpis georgiana,Scorpididae,Scorpis,georgiana,139,25,1.39,0,104,10,10,5
Serranidae Caesioperca rasor,Serranidae,Caesioperca,rasor,52,21,0.52,0,12,7,7,7
Enoplosidae Enoplosus armatus,Enoplosidae,Enoplosus,armatus,55,20,0.55,0,21,8,5,7
Pempherididae Parapriacanthus elongatus,Pempherididae,Parapriacanthus,elongatus,3977,19,39.77,0,1010,8,5,6
Pomacentridae Parma mccullochi,Pomacentridae,Parma,mccullochi,39,19,0.39,0,5,8,6,5
Labridae Pictilabrus laticlavius,Labridae,Pictilabrus,laticlavius,19,18,0.19,0,2,4,7,7
Berycidae Centroberyx gerrardi,Berycidae,Centroberyx,gerrardi,16,15,0.16,0,2,3,3,9
Cheilodactylidae Dactylophora nigricans,Cheilodactylidae,Dactylophora,nigricans,15,14,0.15,0,2,6,4,4
Myliobatidae Myliobatis tenuicaudatus,Myliobatidae,Myliobatis,tenuicaudatus,16,14,0.16,0,3,4,8,2
Carangidae Seriola hippos,Carangidae,Seriola,hippos,19,12,0.19,0,6,1,3,8
Labridae Siphonognathus spp,Labridae,Siphonognathus,spp,14,12,0.14,0,2,3,3,6
Mullidae Upeneichthys vlamingii,Mullidae,Upeneichthys,vlamingii,15,12,0.15,0,3,4,5,3
Heterodontidae Heterodontus portusjacksoni,Heterodontidae,Heterodontus,portusjacksoni,14,11,0.14,0,3,4,4,3
Pentacerotidae Pentaceropsis recurvirostris,Pentacerotidae,Pentaceropsis,recurvirostris,11,11,0.11,0,1,4,3,4
Muraenidae Gymnothorax prasinus,Muraenidae,Gymnothorax,prasinus,11,10,0.11,0,2,2,4,4
Sphyraenidae Sphyraena novaehollandiae,Sphyraenidae,Sphyraena,novaehollandiae,11,10,0.11,0,2,4,2,4
Labridae Siphonognathus caninis,Labridae,Siphonognathus,caninis,8,8,0.08,0,1,0,5,3
Aplodactylidae Aplodactylus westralis,Aplodactylidae,Aplodactylus,westralis,9,7,0.09,0,3,3,4,0
Arripidae Arripis georgianus,Arripidae,Arripis,georgianus,162,7,1.62,0,69,3,1,3
Labridae Pictilabrus spp,Labridae,Pictilabrus,spp,7,7,0.07,0,1,2,1,4
Labridae Dotalabrus alleni,Labridae,Dotalabrus,alleni,10,6,0.1,0,5,1,2,3
Plesiopidae Paraplesiops meleagris,Plesiopidae,Paraplesiops,meleagris,6,6,0.06,0,1,2,3,1
Dasyatidae Bathytoshia brevicaudata,Dasyatidae,Bathytoshia,brevicaudata,5,5,0.05,0,1,1,1,3
Pempherididae Pempheris klunzingeri,Pempherididae,Pempheris,klunzingeri,70,5,0.7,0,56,3,1,1
Tetraodontidae Omegophora armilla,Tetraodontidae,Omegophora,armilla,5,5,0.05,0,1,3,2,0
Gerreidae Parequula melbournensis,Gerreidae,Parequula,melbournensis,61,4,0.61,0,58,0,3,1
Labridae Pictilabrus viridis,Labridae,Pictilabrus,viridis,7,4,0.07,0,2,2,0,2
Monacanthidae Scobinichthys granulatus,Monacanthidae,Scobinichthys,granulatus,5,4,0.05,0,2,2,2,0
Berycidae Centroberyx lineatus,Berycidae,Centroberyx,lineatus,69,3,0.69,0,55,2,1,0
Carangidae Seriola lalandi,Carangidae,Seriola,lalandi,14,3,0.14,0,11,2,1,0
Loliginidae Sepioteuthis australis,Loliginidae,Sepioteuthis,australis,3,3,0.03,0,1,1,1,1
Monacanthidae Acanthaluteres brownii,Monacanthidae,Acanthaluteres,brownii,3,3,0.03,0,1,3,0,0
Monacanthidae Eubalichthys cyanoura,Monacanthidae,Eubalichthys,cyanoura,3,3,0.03,0,1,1,2,0
Monacanthidae Meuschenia venusta,Monacanthidae,Meuschenia,venusta,3,3,0.03,0,1,1,1,1
Serranidae Acanthistius serratus,Serranidae,Acanthistius,serratus,3,3,0.03,0,1,0,1,2
Diodontidae Diodon nicthemerus,Diodontidae,Diodon,nicthemerus,2,2,0.02,0,1,1,0,1
Labridae Heteroscarus acroptilus,Labridae,Heteroscarus,acroptilus,2,2,0.02,0,1,1,1,0
Monacanthidae Acanthaluteres vittiger,Monacanthidae,Acanthaluteres,vittiger,5,2,0.05,0,3,1,1,0
Monacanthidae Eubalichthys mosaicus,Monacanthidae,Eubalichthys,mosaicus,2,2,0.02,0,1,0,2,0
Monacanthidae Meuschenia spp,Monacanthidae,Meuschenia,spp,2,2,0.02,0,1,0,0,2
Parascylliidae Parascyllium variolatum,Parascylliidae,Parascyllium,variolatum,2,2,0.02,0,1,0,0,2
Pempherididae Pempheris spp,Pempherididae,Pempheris,spp,6,2,0.06,0,5,1,1,0
Pomacentridae Parma bicolor,Pomacentridae,Parma,bicolor,3,2,0.03,0,2,1,0,1
Sphyraenidae Sphyraena spp,Sphyraenidae,Sphyraena,spp,2,2,0.02,0,1,1,0,1
Unknown Unknown Unknown,Unknown,Unknown,Unknown,10,2,0.1,0,9,2,0,0
Aracanidae Caprichthys gymnura,Aracanidae,Caprichthys,gymnura,1,1,0.01,0,1,0,0,1
Aulopidae Latropiscis purpurissatus,Aulopidae,Latropiscis,purpurissatus,1,1,0.01,0,1,1,0,0
Carangidae Pseudocaranx dinjerra,Carangidae,Pseudocaranx,dinjerra,1,1,0.01,0,1,1,0,0
Carangidae Seriola dumerili,Carangidae,Seriola,dumerili,1,1,0.01,0,1,1,0,0
Carcharhinidae Carcharhinus altimus,Carcharhinidae,Carcharhinus,altimus,1,1,0.01,0,1,0,1,0
Delphinidae Delphinus delphis,Delphinidae,Delphinus,delphis,4,1,0.04,0,4,0,0,1
Kyphosidae Kyphosus spp,Kyphosidae,Kyphosus,spp,1,1,0.01,0,1,1,0,0
Monacanthidae Acanthaluteres sp1,Monacanthidae,Acanthaluteres,sp1,3,1,0.03,0,3,0,1,0
Monacanthidae Acanthaluteres spilomelanurus,Monacanthidae,Acanthaluteres,spilomelanurus,1,1,0.01,0,1,1,0,0
Monacanthidae Meuschenia scabra,Monacanthidae,Meuschenia,scabra,1,1,0.01,0,1,1,0,0
Pempherididae Pempheris multiradiata,Pempherididae,Pempheris,multiradiata,1,1,0.01,0,1,0,0,1
Pempherididae Pempheris ornata,Pempherididae,Pempheris,ornata,30,1,0.3,0,30,0,1,0
Pomacentridae Parma occidentalis,Pomacentridae,Parma,occidentalis,2,1,0.02,0,2,0,0,1
Scorpaenidae Scorpaena sumptuosa,Scorpaenidae,Scorpaena,sumptuosa,1,1,0.01,0,1,0,1,0
Serranidae Hypoplectrodes nigroruber,Serranidae,Hypoplectrodes,nigroruber,1,1,0.01,0,1,0,0,1
Terapontidae Pelsartia humeralis,Terapontidae,Pelsartia,humeralis,2,1,0.02,0,2,0,1,0
Tetraodontidae Omegophora spp,Tetraodontidae,Omegophora,spp,1,1,0.01,0,1,1,0,0
Tetraodontidae Polyspina piosae,Tetraodontidae,Polyspina,piosae,1,1,0.01,0,1,0,1,0
Triakidae Furgaleus macki,Triakidae,Furgaleus,macki,1,1,0.01,0,1,0,1,0
Trygonorrhinidae Trygonorrhina dumerilii,Trygonorrhinidae,Trygonorrhina,dumerilii,1,1,0.01,0,1,0,0,1
